,created_at,full_text,party,screen_name
95,Mon Nov 05 19:16:08 +0000 2018,"Today we remember #ShirleyChisholm, who on Nov. 5th, 1968 made history as the first African American woman elected to Congress! Shirley spent her entire life fighting inequality and injustice; she was a champion for women, the poor, immigrants and people of color. https://t.co/e1e5mTP4DY",democrats,RepDarrenSoto
96,Sun Nov 04 03:10:05 +0000 2018,RT @RepStephMurphy: Pleased to stop by the 40th anniversary celebration of @GLBTOrlando and grateful for everything they do to make our com…,democrats,RepDarrenSoto
97,Sat Nov 03 19:48:37 +0000 2018,Great to speak at Empowering Mujeres Summit by @HispanicFed today in Orlando! #LatinasPoderosas @HispanicCaucus https://t.co/cuuxvz9qcO,democrats,RepDarrenSoto
98,Sat Nov 03 03:07:38 +0000 2018,RT @OrlandoPolice: Chief Orlando Rolon and Giorgina Rolon with @RepDarrenSoto and @JEstevezWFTV  at the Equality Florida Greater Orlando Ga…,democrats,RepDarrenSoto
99,Fri Nov 02 20:04:56 +0000 2018,RT @hfuw: The community response of accepting evacuees has been amazing! Thank you to all our partners who have joined us in supporting eva…,democrats,RepDarrenSoto
100,Fri Nov 02 20:00:54 +0000 2018,Reading about roughly 100 people summoned to Orlando immigration court by ⁦@ICEgov⁩ fake hearing notices. This is arbitrary and capricious and needs to stop! ⁦@OrlandoWeekly⁩ ⁦⁦@HispanicCaucus⁩ ⁦⁦⁦@latinojustice⁩  https://t.co/GYPrSe4761,democrats,RepDarrenSoto
101,Fri Nov 02 19:20:18 +0000 2018,Thank you to @HCCMO for putting on an incredible Hispanic Economic Growth Summit on Impact of the Puerto Rican Exodus. Learned a lot and proud of our great work together! https://t.co/ol0YQewurD,democrats,RepDarrenSoto
102,Thu Nov 01 19:09:18 +0000 2018,"Latinas make just 53 cents on average for every dollar a white, non-Hispanic man makes for the same job. Time for equal pay for equal work for nuestras esposas, hijas, madres, abuelas, y todas las Latinas! #LatinaEqualPayDay https://t.co/vjBGmjnJLN",democrats,RepDarrenSoto
103,Thu Nov 01 18:20:39 +0000 2018,"RT @DrPhiltill: Meeting today with @RepDarrenSoto to discuss how space-themed robotics competitions promote education, economic development…",democrats,RepDarrenSoto
104,Thu Nov 01 15:48:45 +0000 2018,RT @DemsEspanol: ¡El periodo de inscripción abierta inicia el día de hoy! Recuerda que tienes hasta el 15 de diciembre para asegurarte. Vis…,democrats,RepDarrenSoto
105,Wed Oct 31 16:09:23 +0000 2018,Happy Halloween! Hope families throughout the district enjoy trick or treating and be safe everyone 🎃 https://t.co/a5Wvyf8RF6,democrats,RepDarrenSoto
106,Wed Oct 31 16:03:09 +0000 2018,"RT @WapaRadio: Congresista @RepDarrenSoto asegura buscará más ayudas para los puertorriqueños en la Florida...""Tienen un amigo en mi en la…",democrats,RepDarrenSoto
107,Tue Oct 30 15:27:43 +0000 2018,Trump tries to trample on 150 yrs of American rights under #14thAmendment with proposed anti-birthright citizenship order. But we won’t let him! 🇺🇸 🦅 ⁦@HispanicCaucus⁩ ⁦@HispanicFed⁩ ⁦@latinojustice⁩ ⁦@MALDEF⁩ ⁦@NAACPOCFL⁩  https://t.co/ZiNBlolDJy,democrats,RepDarrenSoto
108,Mon Oct 29 17:38:19 +0000 2018,RT @AAUWActionFund: Congratulations @RepDarrenSoto on your 100% score in our Congressional Voting Record for the 115th Congress! Thank you…,democrats,RepDarrenSoto
109,Mon Oct 29 17:20:15 +0000 2018,Congrats to Chief Orlando Rolon for making history as Orlando’s first Puerto Rican Police Chief! Mucho orgullo Jefe Rolon!!! 🇺🇸 🇵🇷 https://t.co/1aLCkG8Gu2,democrats,RepDarrenSoto
110,Sat Oct 27 20:16:19 +0000 2018,"Today we mourn those lost and injured at #TreeOfLifeSynagogue at #SquirrelHill, condemn this horrifying act of antisemitism, and stand in solidarity with our Jewish American Community. #NeverAgain  https://t.co/IqDiLEcKnb",democrats,RepDarrenSoto
111,Sat Oct 27 13:57:41 +0000 2018,Today we have our interviews for US Service Academies. Thanks to our Military Advisory Board for their service and help! @WestPoint_USMA @NavalAcademy @AF_Academy &amp; @USMMA_OSA https://t.co/862DQfVati,democrats,RepDarrenSoto
112,Fri Oct 26 18:30:47 +0000 2018,RT @rvivian370: At the Pink Ribbon Breakfast supporting Breast Cancer. @ewkendrick @lachicamayra @RepDarrenSoto @NataschaOS @Betsyfrancesch…,democrats,RepDarrenSoto
113,Fri Oct 26 18:29:17 +0000 2018,Fla Mail #bombsuspect seems to have been motivated by right wing conspiracies and political vitriol. Hate and violence have no place in our democracy 🇺🇸 ⁦@HispanicCaucus⁩ ⁦@HouseNewDems⁩  https://t.co/IgOFK6SziH,democrats,RepDarrenSoto
114,Thu Oct 25 19:42:26 +0000 2018,RT @rvivian370: Representing @RepDarrenSoto at Full Sail Recording Academy event where he received a 2018 Champion of Music Award. @lachica…,democrats,RepDarrenSoto
115,Thu Oct 25 15:50:24 +0000 2018,Dear Del. @Kilili_Sablan our prayers go out to Northern Mariana Islands in wake of #SuperTyphoonYutu &amp; we will be there to support your recovery ⁦@HispanicCaucus⁩  https://t.co/LATX0t6INx,democrats,RepDarrenSoto
116,Wed Oct 24 18:54:22 +0000 2018,I have instructed our staff with law enforcement backgrounds to review our mail protocols and recommend additional safeguards.,democrats,RepDarrenSoto
117,Wed Oct 24 18:54:22 +0000 2018,"We must respect our democracy by finding common ground, disagree without being disagreeable and recognize that we are all patriots who love this country dearly.",democrats,RepDarrenSoto
